,Label,SLC2A1.6513,CDCA5.113130,CENPA.1058,POLQ.10721,AGER.177,TROAP.10024,KIF14.9928,EXO1.9156,SERPINB5.5268,GPD1.2819,GINS1.9837,CKAP2L.150468,GPR87.53836,KIF23.9493,PLK1.5347,B4GALNT4.338707,CCNB1.891,RAD54L.8438,C19orf59.199675,CLEC3B.7123
TCGA.18.3406.01,Primary Tumor,24354.3307,259.8425,157.4803,129.9213,245.6693,311.811,129.1339,206.2992,16768.5039,20.4724,734.6457,147.2441,6319.685,225.1969,332.2835,174.8031,1936.2205,87.4016,180.315,197.6378
TCGA.18.3407.01,Primary Tumor,27911.5128,598.4776,148.9058,208.8487,255.471,155.5661,280.2093,347.2883,9081.8268,4.7574,450.0476,284.0152,1154.6147,370.5994,654.6147,274.0247,919.1246,196.4795,56.6127,68.9819
TCGA.18.3408.01,Primary Tumor,11542.0436,417.6183,207.0295,198.1314,39.7449,173.2167,208.8091,381.4326,11991.6951,9.4913,553.4629,329.8235,3976.8649,444.9058,443.7194,15.4234,941.4207,83.6423,48.0498,31.44
TCGA.18.3409.01,Primary Tumor,19213.8462,305.641,92.8205,52.3077,333.3333,93.8462,51.2821,108.7179,2129.2308,34.359,692.8205,120.5128,3338.4615,351.7949,310.7692,592.8205,711.7949,140.5128,140.5128,140.5128
TCGA.18.3410.01,Primary Tumor,9579.7133,1426.263,397.0376,378.131,63.0218,1160.7835,348.9834,548.6839,1367.9678,57.1135,1280.1311,404.9153,1375.0577,1371.1189,910.2717,82.3223,1966.2813,711.359,28.7537,64.5974
TCGA.18.3411.01,Primary Tumor,13220.9595,1027.0542,388.6151,115.4581,5.2298,507.6939,309.3634,691.9441,8430.8559,7.6436,1082.5707,422.81,1127.6275,752.6903,1299.0043,319.0184,3182.5405,194.7098,25.3445,75.6311
TCGA.18.3412.01,Primary Tumor,31420.9703,1037.5587,506.2598,138.8889,53.2081,883.8028,142.41,414.3192,7158.4507,8.216,1199.5305,408.4507,4447.1831,586.4632,1526.2128,80.9859,3014.867,361.8936,46.9484,68.0751
TCGA.18.3414.01,Primary Tumor,12449.6954,796.751,196.7879,223.3709,85.2871,668.6358,285.767,308.2887,6757.2457,33.9671,903.4521,270.2603,2921.9125,956.2488,980.2474,286.5054,1201.0338,330.4412,34.7056,67.9343
TCGA.18.3415.01,Primary Tumor,39528.3237,859.5376,250.8671,187.8613,13.2948,595.9538,256.6474,389.5954,11150.289,12.1387,1290.1734,540.4624,1524.8555,769.3642,1473.4104,436.9942,2395.9538,197.1098,32.948,85.5491
TCGA.18.3416.01,Primary Tumor,48357.1906,1495.7328,268.3504,227.0657,43.5163,725.2714,430.6996,551.7642,3066.2243,6.1369,586.9119,278.3926,1798.673,683.9867,1507.4487,87.0326,2005.6543,708.5344,15.0633,29.5688
TCGA.18.3417.01,Primary Tumor,24941.3119,462.6007,447.641,85.1554,9.206,606.4442,118.527,338.3199,1126.5823,18.412,524.7411,187.5719,1544.3038,760.6444,1029.9194,64.4419,1313.0035,277.3303,92.0598,101.2658
TCGA.18.3419.01,Primary Tumor,9235.6748,1167.3966,365.7944,633.6716,40.5875,590.0401,267.3698,329.2657,3582.35,32.47,639.2524,464.7263,2034.9534,1205.9547,1267.3432,201.9226,2046.115,339.9199,53.271,7.1028
TCGA.18.3421.01,Primary Tumor,25491.4966,1344.1043,375.2834,293.0839,90.7029,664.3991,92.9705,353.1746,3680.2721,149.093,1085.034,264.1723,4835.034,941.0431,1112.8118,218.254,2096.9388,230.1587,73.1293,114.5125
